board,noise,variant,precision,recall,F1,Pratt FOM,time (ms)
06,speckle s=0.15,2 + intensity-Otsu thresholds,0.26703065240286017,0.9600584045195273,0.4178425692209776,0.31364146418136657,6.611799995880574
06,speckle s=0.15,3 + gradient-domain thresholds,0.26754612336304706,0.9749188068011244,0.41986818463987247,0.32059529729899955,12.611599988304079
06,speckle s=0.15,4 + noise-scaled threshold floor,0.26806648395367344,0.9727354602767392,0.42030523221846566,0.3196195447801091,13.25580000411719
06,speckle s=0.15,5 + morphological repair,0.29739203037248835,0.9692966895008324,0.45514119767769373,0.3444329871545439,26.04050002992153
06,speckle s=0.15,6 Proposed (+ noise-adaptive filter),0.3097885407419266,0.9774569471357223,0.47046964101693567,0.3599765627408043,34.738700021989644
06,speckle s=0.15,7 Proposed with Sobel + Otsu,0.38142849085337194,0.9964793537294288,0.551685103693768,0.409242776880942,58.13099996885285
07,clean,1 Baseline (Gaussian + fixed Canny),0.4620482930890924,0.6939321679161449,0.5547328601496415,0.24694089168615477,5.659500020556152
07,clean,2 + intensity-Otsu thresholds,0.3362597441913267,0.8365613902660788,0.4797013130588816,0.334402513772441,6.188600033055991
07,clean,3 + gradient-domain thresholds,0.3404110611615215,0.9147381242387332,0.4961752422405606,0.37464359911755873,8.623400004580617
07,clean,4 + noise-scaled threshold floor,0.3404110611615215,0.9147381242387332,0.4961752422405606,0.37464359911755873,8.41089995810762
07,clean,5 + morphological repair,0.3469701680603512,0.8878214475648042,0.4989466286798276,0.380131511875557,17.925499996636063
07,clean,6 Proposed (+ noise-adaptive filter),0.41462404555454896,0.951827897960234,0.5776284129083024,0.4467384335716109,25.295900006312877
07,clean,7 Proposed with Sobel + Otsu,0.4551354206624199,0.9706815803468803,0.6197030461661023,0.47603450682250803,30.70319996913895
07,gaussian s=10,1 Baseline (Gaussian + fixed Canny),0.7725672760304303,0.6483162066185174,0.7050090902878025,0.23531762959807856,3.6942000151611865
07,gaussian s=10,2 + intensity-Otsu thresholds,0.33849122807017545,0.8632035820281004,0.486291258146269,0.36389948026081437,4.248400044161826
07,gaussian s=10,3 + gradient-domain thresholds,0.3136833776069632,0.9302122111475185,0.4691585225029505,0.3540704895478528,9.63490002322942
07,gaussian s=10,4 + noise-scaled threshold floor,0.3377524826048774,0.8813024309070011,0.48834893435118853,0.3719435033477972,8.153200033120811
07,gaussian s=10,5 + morphological repair,0.34492485696527325,0.8705117428076375,0.49407947470170827,0.3780229017305291,17.507000011391938
07,gaussian s=10,6 Proposed (+ noise-adaptive filter),0.3433481961897041,0.8635638434749789,0.49134166899877735,0.3763186695993147,25.89089999673888
